Sample Size,Minimum Points per Thread,Number of Threads,Popularity,Query Time (s),Build Time (s),kNN Time (s),Range Search Time (s),Number of tracks
50,10000,1,0,27.1064,13.5089,1.34627,0,8737156
50,10000,2,0,27.7308,13.6881,1.62587,0,8737156
50,50000,2,0,26.917,13.6068,1.22733,0,8737156
50,100000,2,0,26.9714,14.104,2.9372,0,8737156
50,400000,2,0,27.5416,13.7351,1.25076,0,8737156
50,10000,4,0,27.2572,14.0818,3.93061,0,8737156
50,50000,4,0,27.1443,14.2199,4.06747,0,8737156
50,100000,4,0,27.162,14.2888,4.597,0,8737156
50,400000,4,0,26.9121,14.3263,4.31158,0,8737156
50,10000,8,0,27.231,19.3717,3.33926,0,8737156
50,50000,8,0,27.0037,19.5525,3.95792,0,8737156
50,100000,8,0,26.779,20.7411,7.67583,0,8737156
50,400000,8,0,26.7067,18.7287,4.85368,0,8737156
50,10000,16,0,26.7693,21.0568,7.00058,0,8737156
50,50000,16,0,26.6749,20.9063,5.53801,0,8737156
50,100000,16,0,26.8857,21.0696,5.39338,0,8737156
50,400000,16,0,27.0568,20.704,6.51759,0,8737156
500,10000,1,0,26.9344,25.0789,2.74981,0,8737156
500,10000,2,0,26.9014,29.8002,2.09323,0,8737156
500,50000,2,0,27.1351,30.8957,1.59608,0,8737156
500,100000,2,0,27.2077,29.7643,1.45383,0,8737156
500,400000,2,0,27.1022,29.7905,1.18916,0,8737156
500,10000,4,0,27.0401,30.3922,4.06446,0,8737156
500,50000,4,0,26.8791,30.5145,3.32432,0,8737156
500,100000,4,0,26.8262,29.8798,5.95545,0,8737156
500,400000,4,0,27.0591,29.9423,3.21893,0,8737156
500,10000,8,0,27.0711,46.9628,7.76286,0,8737156
500,50000,8,0,26.8817,46.1264,5.34508,0,8737156
500,100000,8,0,27.2247,46.6161,4.36975,0,8737156
500,400000,8,0,27.1395,47.465,5.4945,0,8737156
500,10000,16,0,27.2082,45.0343,4.5733,0,8737156
500,50000,16,0,27.3582,43.9062,3.85822,0,8737156
500,100000,16,0,27.0528,44.6209,4.80788,0,8737156
500,400000,16,0,27.2435,43.8031,5.76354,0,8737156
4000,10000,1,0,27.0611,42.4884,1.50389,0,8737156
4000,10000,2,0,27.2899,50.8953,2.15106,0,8737156
4000,50000,2,0,27.2937,50.5337,1.54138,0,8737156
4000,100000,2,0,27.5091,50.8743,1.5205,0,8737156
4000,400000,2,0,27.1954,50.1842,2.23997,0,8737156
4000,10000,4,0,27.0887,52.7646,2.78462,0,8737156
4000,50000,4,0,27.1072,52.4723,4.84588,0,8737156
4000,100000,4,0,27.1767,52.2871,3.74756,0,8737156
4000,400000,4,0,27.1558,52.7753,3.1821,0,8737156
4000,10000,8,0,27.1729,80.7622,6.3771,0,8737156
4000,50000,8,0,27.2623,80.6684,4.26719,0,8737156
4000,100000,8,0,27.1254,80.5689,5.64594,0,8737156
4000,400000,8,0,27.0298,80.8065,4.22968,0,8737156
4000,10000,16,0,26.8764,76.0065,6.43373,0,8737156
4000,50000,16,0,26.8203,75.8353,5.95804,0,8737156
4000,100000,16,0,26.7423,76.1606,4.37163,0,8737156
4000,400000,16,0,26.9839,75.7754,6.01585,0,8737156
10000,10000,1,0,26.9685,56.7987,1.5645,0,8737156
10000,10000,2,0,26.848,65.7668,1.02529,0,8737156
10000,50000,2,0,26.9042,66.2799,1.74226,0,8737156
10000,100000,2,0,27.2849,65.5805,1.53683,0,8737156
10000,400000,2,0,27.089,69.1873,1.0423,0,8737156
10000,10000,4,0,27.0023,70.0415,3.65245,0,8737156
10000,50000,4,0,27.2447,68.8205,3.4651,0,8737156
10000,100000,4,0,27.3707,68.9416,2.93559,0,8737156
