Sample Size,Minimum Points per Thread,Number of Threads,Popularity,Query Time (s),Build Time (s),kNN Time (s),Range Search Time (s),Number of tracks
50,100000,1,0,29.9798,13.9548,4.15972,0,8737156
50,100000,1,1,16.501,6.80534,0.62822,0,4761069
50,100000,1,10,5.98169,2.40205,0.475025,0,1899485
50,100000,1,20,4.11472,1.17525,0.581173,0,911381
50,100000,1,30,1.51934,0.537715,0.2326,0,437260
50,100000,1,40,0.693551,0.235708,0.152537,0,196837
50,100000,1,50,0.294485,0.0952954,0.048245,0,77892
50,100000,1,60,0.17394,0.035298,0.022792,0,26519
50,100000,1,70,0.0306446,0.00850887,0.0149862,0,6920
50,100000,1,80,0.00843356,0.00114198,0.00145161,0,1069
50,100000,1,90,0.00219768,0.000112982,0.000659997,0,82
